Team,TeamAlt,ESPNID,Nickname,City,State,Conference
Air Force,Air Force,2005,Falcons,Colorado Springs,Colorado,MW
Akron,Akron,2006,Zips,Akron,Ohio,MAC
Alabama,Alabama,333,Crimson Tide,Tuscaloosa,Alabama,SEC
Appalachian State,Appalachian St,2026,Mountaineers,Boone,North Carolina,Sun Belt
Arizona,Arizona,12,Wildcats,Tucson,Arizona,Pac-12
Arizona State,Arizona State,9,Sun Devils,Tempe,Arizona,Pac-12
Arkansas,Arkansas,8,Razorbacks,Fayetteville,Arkansas,SEC
Arkansas State,Arkansas State,2032,Red Wolves,Jonesboro,Arkansas,Sun Belt
Army,Army,349,Black Knights,West Point,New York,FBS Indep.
Auburn,Auburn,2,Tigers,Auburn,Alabama,SEC
Ball State,Ball State,2050,Cardinals,Muncie,Indiana,MAC
Baylor,Baylor,239,Bears,Waco,Texas,Big 12
Boise State,Boise State,68,Broncos,Boise,Idaho,MW
Boston College,Boston College,103,Eagles,Chestnut Hill,Massachusetts,ACC
Bowling Green,Bowling Green,189,Falcons,Bowling Green,Ohio,MAC
Buffalo,Buffalo,2084,Bulls,Buffalo,New York,MAC
BYU,BYU,252,Cougars,Provo,Utah,FBS Indep.
Coastal Carolina,C. Carolina,324,Chanticleers,Conway,South Carolina,Sun Belt
California,Cal,25,Golden Bears,Berkeley,California,Pac-12
Central Michigan,Cent Michigan,2117,Chippewas,Mount Pleasant,Michigan,MAC
Charlotte,Charlotte,2429,49ers,Charlotte,North Carolina,C-USA
Cincinnati,Cincinnati,2132,Bearcats,Cincinnati,Ohio,American
Clemson,Clemson,228,Tigers,Clemson,South Carolina,ACC
Colorado,Colorado,38,Buffaloes,Boulder,Colorado,Pac-12
Colorado State,Colorado State,36,Rams,Fort Collins,Colorado,MW
Duke,Duke,150,Blue Devils,Durham,North Carolina,ACC
Eastern Michigan,E Michigan,2199,Eagles,Ypsilanti,Michigan,MAC
East Carolina,ECU,151,Pirates,Greenville,North Carolina,American
Florida Atlantic,FAU,2226,Owls,Boca Raton,Florida,C-USA
Florida Intl,FIU,2229,Panthers,Miami,Florida,C-USA
Florida,Florida,57,Gators,Gainesville,Florida,SEC
Fresno State,Fresno State,278,Bulldogs,Fresno,California,MW
Florida State,FSU,52,Seminoles,Tallahassee,Florida,ACC
Georgia Southern,Ga Southern,290,Eagles,Statesboro,Georgia,Sun Belt
Georgia,Georgia,61,Bulldogs,Athens,Georgia,SEC
Georgia State,Georgia State,2247,Panthers,Atlanta,Georgia,Sun Belt
Georgia Tech,Georgia Tech,59,Yellow Jackets,Atlanta,Georgia,ACC
Hawai'i,Hawai'i,62,Rainbow Warriors,Honolulu,Hawai'i,MW
Houston,Houston,248,Cougars,Houston,Texas,American
Idaho,Idaho,70,Vandals,Moscow,Idaho,Sun Belt
Illinois,Illinois,356,Fighting Illini,Urbana–Champaign,Illinois,Big Ten
Indiana,Indiana,84,Hoosiers,Bloomington,Indiana,Big Ten
Iowa,Iowa,2294,Hawkeyes,Iowa City,Iowa,Big Ten
Iowa State,Iowa State,66,Cyclones,Ames,Iowa,Big 12
Kansas,Kansas,2305,Jayhawks,Lawrence,Kansas,Big 12
Kansas State,Kansas State,2306,Wildcats,Manhattan,Kansas,Big 12
Kent State,Kent State,2309,Golden Flashes,Kent,Ohio,MAC
Kentucky,Kentucky,96,Wildcats,Lexington,Kentucky,SEC
Louisiana Tech,LA Tech,2348,Bulldogs,Ruston,Louisiana,C-USA
Louisiana,Louisiana-Lafayette,309,Ragin' Cajuns,Lafayette,Louisiana,Sun Belt
Louisville,Louisville,97,Cardinals,Louisville,Kentucky,ACC
LSU,LSU,99,Tigers,Baton Rouge,Louisiana,SEC
Marshall,Marshall,276,Thundering Herd,Huntington,West Virginia,C-USA
Maryland,Maryland,120,Terrapins,College Park,Maryland,Big Ten
Memphis,Memphis,235,Tigers,Memphis,Tennessee,American
Miami (FL),Miami,2390,Hurricanes,Coral Gables,Florida,ACC
Miami (OH),Miami (OH),193,RedHawks,Oxford,Ohio,MAC
Michigan,Michigan,130,Wolverines,Ann Arbor,Michigan,Big Ten
Michigan State,Michigan State,127,Spartans,East Lansing,Michigan,Big Ten
Middle Tennessee,Mid Tennessee,2393,Blue Raiders,Murfreesboro,Tennessee,C-USA
Minnesota,Minnesota,135,Golden Gophers,Minneapolis,Minnesota,Big Ten
Mississippi State,Miss St,344,Bulldogs,Starkville,Mississippi,SEC
Missouri,Missouri,142,Tigers,Columbia,Missouri,SEC
Navy,Navy,2426,Midshipmen,Annapolis,Maryland,American
NC State,NC State,152,Wolfpack,Raleigh,North Carolina,ACC
Nebraska,Nebraska,158,Cornhuskers,Lincoln,Nebraska,Big Ten
Nevada,Nevada,2440,Wolf Pack,Reno,Nevada,MW
